DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2014.06.13,54800,55155,54665,54940,679300,177772,5
2014.06.16,55135,55170,54515,54780,613450,164375,5
2014.06.17,54750,54940,54130,54215,411590,114115,5
2014.06.18,55100,56065,54820,56065,804810,203470,5
2014.06.20,55710,55775,55250,55505,677370,171775,5
2014.06.23,55550,55640,54695,54695,455160,127517,5
2014.06.24,54875,55790,54685,55115,942760,250310,5
2014.06.25,55040,55175,53950,53995,942100,244766,5
2014.06.26,54205,54455,53960,54000,837790,209156,5
2014.06.27,53995,54300,53520,53855,764060,202945,5
2014.06.30,53775,53995,53275,53575,740010,192177,5
2014.07.01,53880,54315,53455,53715,769310,195311,5
2014.07.02,53890,53990,53280,53500,841500,218563,5
2014.07.03,53280,54480,53010,54450,731490,203252,5
2014.07.04,54340,54700,54220,54610,198270,54025,5
2014.07.07,54340,54445,53865,54255,667730,174328,5
2014.07.08,54290,54430,53895,54080,463190,122051,5
2014.07.10,54030,55190,54020,55005,865770,227485,5
2014.07.11,55085,55470,54785,55265,664080,173816,5
2014.07.14,55545,56405,55480,56215,732160,192542,5
2014.07.15,56205,56580,56070,56390,685940,185529,5
2014.07.16,56700,56795,55955,56175,751210,210416,5
2014.07.17,55930,56660,55630,55880,1086360,304509,5
2014.07.18,57460,57925,57135,57550,1015360,269130,5
2014.07.21,57420,58140,57240,58135,810610,214871,5
2014.07.22,58200,58535,57860,58440,822530,230075,5
2014.07.23,57540,58030,57400,57800,759020,209232,5
2014.07.24,57960,58460,57630,58250,788650,230135,5
2014.07.25,58100,58350,57920,58240,559030,145136,5
2014.07.28,58320,58415,57615,57880,643180,180044,5
2014.07.29,58060,58275,57280,57395,718630,201210,5
2014.07.30,57450,57640,56880,57000,884010,247673,5
2014.07.31,56655,56800,55640,55955,1072780,299750,5
2014.08.01,55685,56225,55350,56070,1050480,280208,5
2014.08.04,56340,56935,55665,56935,863800,242958,5
2014.08.05,56720,57090,56115,56230,1211730,340339,5
2014.08.06,56065,56945,55765,56500,1090760,306595,5
2014.08.07,56495,57030,56020,56530,1195520,323527,5
2014.08.08,56465,56470,55350,55390,1012020,281450,5
2014.08.11,55375,56925,55330,56925,917070,252233,5
2014.08.12,56760,56860,56310,56540,989090,249762,5
2014.08.13,57880,57880,56070,56455,1312730,342991,5
2014.08.14,56400,56930,56140,56900,1193240,305632,5
2014.08.15,57140,58035,56990,58000,1399150,362868,5
2014.08.18,58250,58660,57900,58425,1042140,264052,5
2014.08.19,58550,59600,58140,59600,1049830,281095,5
2014.08.20,59640,59940,59175,59700,1138860,310752,5
2014.08.21,59600,60135,59425,59995,1001330,282228,5
2014.08.22,59915,59950,58965,59185,925100,250940,5
2014.08.25,59500,60690,59425,60580,864850,244943,5
2014.08.26,60560,60970,60330,60900,1200400,336935,5
2014.08.27,61200,62070,60860,61795,1108080,307402,5
2014.08.28,61490,61810,60950,61300,1005910,269641,5
2014.08.29,61500,62365,61025,62285,1099870,317305,5
2014.09.01,62650,63085,61540,61580,663620,202047,5
2014.09.02,61900,62995,61620,62750,1399270,377452,5
2014.09.03,63000,63080,61855,62600,1400070,392588,5
2014.09.04,61845,62465,61400,61475,1409080,382855,5
2014.09.05,61360,61695,60885,61490,1379570,375424,5
2014.09.08,61200,62250,59295,59295,1693200,452865,5
2014.09.09,59520,60085,58585,59260,1272680,343098,5
2014.09.10,59020,59170,57965,59125,1537260,414790,5
2014.09.11,58980,59400,58620,58655,1477310,405359,5
2014.09.12,58500,58590,57050,57185,1584190,421910,5
