uf,tipo_area,sexo,idade,cor,pessoas_dom,freq_esc,nivel_instrucao,ocup_forca,trab_procurou,motivo_ntrab,serv_pub,ocup_cond,ocup_desc,ocup_cod,ocup_grupo,ocup_pos,ocup_pos2,carteira,ativ_cod,ativ_grupo,prev,ocup_horas,rendimento,rendimento_total
41,4,feminino,28,4,2,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
33,4,masculino,51,2,5,2.0,fundamental_inc,1.0,,,,1.0,agricultor_horta_viv_jardim,6112.0,6.0,2.0,3.0,1.0,97000.0,11.0,1.0,4.0,937.0,937.0
35,2,masculino,57,1,3,2.0,fundamental_inc,1.0,,,,1.0,mecanico,7231.0,7.0,5.0,9.0,,45020.0,4.0,1.0,5.0,3000.0,3000.0
53,1,masculino,14,1,7,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,,
27,2,masculino,28,4,2,2.0,sem_instrucao,2.0,2.0,5.0,,,,,,,,,,,,,,
21,4,feminino,3,4,4,,,,,,,,,,,,,,,,,,,
33,4,feminino,42,1,1,2.0,medio,1.0,,,,1.0,trab_limp_interior_edif_esc_hotel,9112.0,9.0,1.0,1.0,1.0,93011.0,10.0,1.0,3.0,1042.0,1042.0
24,2,masculino,22,4,4,2.0,medio_inc,1.0,,,,1.0,cabeleireiro,5141.0,5.0,1.0,2.0,2.0,96020.0,10.0,2.0,5.0,1000.0,1000.0
33,4,feminino,17,1,3,2.0,medio,2.0,2.0,2.0,,,,,,,,,,,,,,
13,4,feminino,43,1,5,2.0,sem_instrucao,2.0,2.0,6.0,,,,,,,,,,,,,,
17,4,feminino,51,4,4,2.0,fundamental_inc,1.0,,,,1.0,agricultor,6111.0,6.0,6.0,10.0,,1201.0,1.0,2.0,2.0,,
35,1,feminino,46,1,2,2.0,medio,1.0,,,,1.0,cabeleireiro,5141.0,5.0,5.0,9.0,,96020.0,10.0,2.0,4.0,2000.0,2000.0
42,4,feminino,26,1,4,1.0,superior,1.0,,,,1.0,profis_nivmedio_direito,3411.0,3.0,3.0,6.0,2.0,84015.0,8.0,2.0,2.0,900.0,900.0
33,2,feminino,26,2,2,1.0,superior_inc,1.0,,,,1.0,caixa_exped_bilhete,5230.0,5.0,1.0,1.0,1.0,48080.0,4.0,1.0,3.0,1138.0,1138.0
21,2,masculino,44,4,3,2.0,fundamental,1.0,1.0,,,2.0,,,,,,,,,,,,
31,4,masculino,47,2,3,2.0,fundamental,1.0,,,,1.0,op_maq_polidora_metal,8122.0,8.0,1.0,1.0,1.0,24001.0,2.0,1.0,3.0,1300.0,1300.0
33,1,masculino,29,4,3,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,,
31,4,masculino,34,4,5,2.0,fundamental,1.0,,,,1.0,pescador,6225.0,6.0,5.0,9.0,,3001.0,1.0,1.0,2.0,200.0,200.0
